,MeanTempRate,Ndays35Rate,Ndays5Rate,RainRate,NDays35.5YrMean,NDays35.10YrMean,Ndays5.5YrMean,Ndays5.10YrMean,Tmean.5YrMean,Tmean.10YrMean,TotalRain.5YrSum,TotalRain.10YrSum
ANWC115,-0.026673252,-0.22481203,0.013533835,0.000265724,102.8,130.6,18.6,22.6,24.07564848,24.11798964,0.06557776,0.106502279
ANWC116,-0.048060266,-0.278947368,0.013533835,0.000296865,104.4,129.8,18.6,22.6,23.8214012,24.11313748,0.062258405,0.106502279
ANWC117,-0.088866761,-0.336842105,1.360902256,0.000493686,30.2,40.2,68.8,67.1,19.78446999,19.78799278,0.107494948,0.200943131
ANWC118,-0.07247701,-0.371428571,1.360902256,0.000460956,29.6,40.1,68.8,67.1,20.06874412,19.78289866,0.106946561,0.200714099
ANWC119,-0.01488512,2.909774436,0,0.000408544,153.4,148.2,0,0,27.8094959,27.89695789,0.256004674,0.493214583
ANWC126,0.021419112,0.578947368,0.57593985,6.93E-05,66,58.4,50.2,49.6,20.12780674,19.93412213,0.025469425,0.055604464
ANWC128,0.015375861,1.101503759,1.036842105,0.000121925,85,73.4,52.8,50.9,20.96908236,20.65639563,0.033085238,0.073657174
ANWC129,0.01408187,1.182706767,1.146616541,0.000129607,86.8,75.7,53.6,50.3,21.07826896,20.75789575,0.03387087,0.075126294
ANWC130,0.014355162,0.870676692,1.052631579,0.000115207,83.4,72.1,53.4,50.5,20.89593693,20.60551224,0.032535103,0.071646657
ANWC131,0.012529801,0.903759398,1.036090226,0.000126043,82.6,71.1,53.6,51,20.85160976,20.547709,0.034160622,0.075211038
ANWC132,0.011707533,1.113533835,0.995488722,0.000136787,92.4,80.6,49.4,50.1,21.40463955,21.04240048,0.03746619,0.080910757
ANWC133,0.011707533,1.113533835,0.995488722,0.000136787,92.4,80.6,49.4,50.1,21.40463955,21.04240048,0.03746619,0.080910757
ANWC134,0.012939044,1.185714286,1.180451128,0.000150345,87.8,75.3,54.6,55.2,21.04954769,20.6896672,0.038693102,0.08380782
ANWC135,0.010961589,1.336842105,1.496992481,0.000180202,94.4,80.2,57.8,57.6,21.24957778,20.8703568,0.041779781,0.088901629
ANWC136,0.010961589,1.336842105,1.496992481,0.000180202,94.4,80.2,57.8,57.6,21.24957778,20.8703568,0.041779781,0.088901629
ANWC137,-0.047581844,-1.081203008,0,0.000913266,100.2,92.4,0,0,27.16625004,27.11242394,0.171191893,0.381930123
ANWC138,-0.047581844,-1.081203008,0,0.000913266,100.2,92.4,0,0,27.16625004,27.11242394,0.171191893,0.381930123
ANWC139,-0.048644155,-1.192481203,0,0.000918973,105.4,98.1,0,0,27.1910442,27.12538703,0.165899491,0.377799503
ANWC140,-0.018486178,-1.163909774,-0.004511278,0.000972282,170.8,171.8,0,0.3,27.82864841,27.65944881,0.158129508,0.328519112
ANWC141,-0.027222826,-0.166917293,0,0.001083827,148.8,142.3,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC142,-0.027222826,-0.166917293,0,0.001083827,148.8,142.3,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC143,-0.027222826,-0.166917293,0,0.001083827,148.8,142.3,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC144,-0.074434527,-0.927067669,0.160902256,0.000825271,164.8,154.5,2.2,2.2,26.60943743,26.47391234,0.144292235,0.312018693
ANWC145,-0.049297794,0.003759398,0,0.000455132,145.4,145.1,0,0,26.72309262,26.70426207,0.153191841,0.325088376
ANWC146,-0.049297794,0.003759398,0,0.000455132,145.4,145.1,0,0,26.72309262,26.70426207,0.153191841,0.325088376
ANWC147,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,209.6,0.4,1.3,27.68644311,27.51919661,0.085839815,0.183446121
ANWC148,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,209.6,0.4,1.3,27.68644311,27.51919661,0.085839815,0.183446121
ANWC150,-0.02260298,1.329323308,0.036842105,-6.99E-05,206.4,199.4,0.4,1.5,27.37932173,27.22285803,0.083251702,0.179159183
ANWC151,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,209.6,0.4,1.3,27.68644311,27.51919661,0.085839815,0.183446121
ANWC152,-0.020389345,1.408270677,3.01E-17,-7.08E-05,214.4,206.2,0.4,1.2,27.62069537,27.47466636,0.072722666,0.160719677
ANWC153,-0.020389345,1.408270677,3.01E-17,-7.08E-05,214.4,206.2,0.4,1.2,27.62069537,27.47466636,0.072722666,0.160719677
ANWC154,-0.020389345,1.408270677,3.01E-17,-7.08E-05,214.4,206.2,0.4,1.2,27.62069537,27.47466636,0.072722666,0.160719677
ANWC155,-0.020704868,1.453383459,3.01E-17,-5.52E-05,221,212,0.4,1.2,27.78367761,27.63846262,0.073209095,0.1611649
ANWC156,-0.020704868,1.453383459,3.01E-17,-5.52E-05,221,212,0.4,1.2,27.78367761,27.63846262,0.073209095,0.1611649
ANWC157,-0.022023031,1.493984962,0.018045113,-7.60E-05,222.2,213.6,0.4,1.2,27.81714821,27.67560035,0.073332691,0.161584558
ANWC158,-0.037829544,0.719548872,0.019548872,-0.000200152,168.6,165.8,0.8,1.1,26.43122428,26.15821886,0.094872145,0.223868292
ANWC159,-0.037829544,0.719548872,0.019548872,-0.000200152,168.6,165.8,0.8,1.1,26.43122428,26.15821886,0.094872145,0.223868292
ANWC160,-0.027631395,0.811278195,-0.002255639,-9.93E-05,179,174.3,0.8,0.7,26.69767304,26.41851614,0.087937855,0.204326977
ANWC161,-0.027631395,0.811278195,-0.002255639,-9.93E-05,179,174.3,0.8,0.7,26.69767304,26.41851614,0.087937855,0.204326977
ANWC162,-0.048008566,0.120300752,0.160150376,-0.000187001,168.2,163.4,3,3.8,26.24642932,26.03170265,0.092543989,0.218535577
ANWC163,-0.048544108,0.161654135,0.163157895,-0.000174237,165.8,160.8,3.2,4,26.16916364,25.9605868,0.095142984,0.222641857
ANWC168,-0.082062217,-0.366917293,0.25112782,0.000162483,53.8,62.4,26.8,29.4,22.34265146,22.46027942,0.09193041,0.162275764
ANWC170,-0.067963159,-0.34962406,-0.272932331,0.000272123,47,54.3,14.2,16.1,22.45206396,22.60640115,0.109548189,0.192643139
ANWC66,-0.075512801,-2.545112782,-0.009774436,0.0013459,76,89.1,0,0,26.61861359,26.69348172,0.196911669,0.315482677
ANWC67,-0.075512801,-2.545112782,-0.009774436,0.0013459,76,89.1,0,0,26.61861359,26.69348172,0.196911669,0.315482677
ANWC68,-0.070547026,-2.839849624,0,0.001295635,67.2,80.4,0,0,26.73239476,26.79018512,0.196761117,0.317589222
ANWC69,-0.070547026,-2.839849624,0,0.001295635,67.2,80.4,0,0,26.73239476,26.79018512,0.196761117,0.317589222
ANWC71,-0.181686302,-0.151879699,0.976691729,0.000229994,73.4,74.2,53.6,48.3,20.49538764,20.63093867,0.047784588,0.113999684
ANWC72,0.018092716,0.72481203,-0.176691729,0.000110516,78.2,77.2,36.2,32.5,20.85815878,20.87814161,0.035813794,0.065223983
ANWC73,0.018092716,0.72481203,-0.176691729,0.000110516,78.2,77.2,36.2,32.5,20.85815878,20.87814161,0.035813794,0.065223983
ANWC75,0.039343091,1.24887218,-0.80075188,0.00036341,100,98.1,51.2,48.1,21.61466553,21.80651975,0.064636161,0.097194462
ANWC77,-0.005447681,0.9,0.188721805,0.000390429,92.4,89.6,48.6,46.3,21.56178586,21.48614021,0.054252493,0.096242282
ANWC78,-0.043079049,-0.045864662,1.166165414,0.000531473,101.2,107.7,50,40.7,22.28850773,22.61213422,0.080500355,0.131456499
ANWC79,-0.032892848,1.464661654,0.05037594,0.000304314,153.6,156.4,2.6,1.4,25.2351565,25.47497169,0.069656064,0.123627559
ANWC80,-0.032464703,0.882706767,-0.027819549,0.000569928,143,150.7,0,0,25.49510282,25.81463976,0.098077051,0.175736682
ANWC81,0.040392266,1.179699248,-0.015037594,2.52E-05,51.8,46.4,1.2,0.7,22.18058573,21.99623342,0.046379484,0.084048571
ANWC94,-0.037101166,0.104511278,0.353383459,0.000311671,28.8,30,27.8,29.1,17.80944299,17.68378566,0.078798119,0.130701447
SAM11,-0.0775813,-0.644360902,0.153383459,-4.19E-05,108.6,116.9,29.2,29.9,22.7747934,22.96894599,0.022794202,0.047579242
SAM12,-0.07423256,-0.776691729,0.008270677,-5.48E-05,108.2,116.6,30.8,32.1,22.71709671,22.89190651,0.023441914,0.048949197
SAM14,-0.067943752,-0.527067669,0.395488722,5.71E-06,121.2,123.2,29.4,29.2,23.19588622,23.25253764,0.022932334,0.052248101
SAM15,-0.067943752,-0.527067669,0.395488722,5.71E-06,121.2,123.2,29.4,29.2,23.19588622,23.25253764,0.022932334,0.052248101
SAM16,-0.068795315,-0.490225564,0.303759398,5.33E-06,114.2,117.9,31.2,30,22.93883996,23.01912997,0.022776622,0.051575643
SAM17,-0.055752281,-0.021052632,-0.259398496,8.63E-05,102,100.8,35.8,36.5,21.99654513,21.96415031,0.031089003,0.069808666
SAM18,-0.055752281,-0.021052632,-0.259398496,8.63E-05,102,100.8,35.8,36.5,21.99654513,21.96415031,0.031089003,0.069808666
SAM19,-0.096275394,-0.193233083,3.006015038,0.000136285,18.4,16.8,126.8,114,14.43318666,14.64832644,0.056853598,0.137579678
SAM25,-0.051028491,0.264661654,1.073684211,9.58E-05,31.6,30.4,56.4,57,16.76480762,16.6203441,0.04371096,0.090328381
SAM26,-0.064919429,0.307518797,1.073684211,0.000105216,31.6,30.4,56.4,57,16.76480762,16.6203441,0.04371096,0.090328381
SAM27,-0.064919429,0.307518797,1.073684211,0.000105216,31.6,30.4,56.4,57,16.76480762,16.6203441,0.04371096,0.090328381
SAM28,-0.16063452,-0.819548872,1.073684211,0.000144521,26.2,23.7,56.4,57,15.65889206,15.99704921,0.044957607,0.09788705
SAM29,-0.046507806,0.342105263,1.298496241,3.27E-05,32.6,31.2,57,56.6,16.75670875,16.64402284,0.041430155,0.091043968
SAM30,-0.046507806,0.342105263,1.298496241,3.27E-05,32.6,31.2,57,56.6,16.75670875,16.64402284,0.041430155,0.091043968
SAM31,-0.036155647,0.342105263,1.298496241,5.01E-05,32.6,31.2,57,56.6,16.84158147,16.66501989,0.042959096,0.091283254
SAM32,-0.035924201,0.357142857,1.266917293,5.65E-05,32.2,30.4,56.8,56.6,16.80640736,16.62955212,0.043873141,0.092467602
SAM33,0.026816785,-0.107518797,-0.360902256,9.35E-05,56.6,52.4,44.6,45.7,19.83094354,19.68450113,0.02839884,0.058073759
SAM34,0.028196199,-0.043609023,-0.326315789,9.47E-05,54.2,50.7,47.2,48.1,19.63824078,19.50137773,0.028755484,0.058442452
SAM35,-0.006461006,0.107518797,0.372180451,8.30E-05,47.6,44.5,39,40.1,19.20809305,19.08405411,0.03602859,0.072701304
SAM36,-0.00917123,0.3,0.604511278,6.76E-05,44.4,39.9,32.4,33.7,19.0165268,18.90514258,0.036948953,0.075714548
SAM37,0.028196199,-0.043609023,-0.326315789,9.47E-05,54.2,50.7,47.2,48.1,19.63824078,19.50137773,0.028755484,0.058442452
SAM38,0.000509576,-0.284210526,0.033082707,0.000110618,58,54.7,45.4,46.3,20.06714101,19.89361382,0.03169877,0.06504591
SAM39,-0.010503475,0.287969925,0.547368421,6.80E-05,44.6,40.2,30.4,32.3,19.11203904,19.00109646,0.036952667,0.076072301
SAM41,-0.046096593,0.909022556,1.253383459,8.05E-05,49.2,49.4,34.8,34.9,19.54186041,19.46244407,0.042324771,0.074837833
SAM44,-0.153226416,-0.707518797,1.073684211,0.000150336,27.2,24.2,56.4,57,15.71658646,15.88244347,0.045027607,0.097695114
SAM45,-0.149891918,-0.633834586,1.073684211,0.000147858,27.8,24.5,56.4,57,15.83733918,15.87403801,0.044177606,0.098231673
SAM46,-0.168675293,-0.77518797,1.073684211,0.000145035,27.2,24.2,56.4,57,15.69222536,15.92627726,0.043716316,0.098141673
SAM8,-0.072571335,-0.861654135,-0.081203008,-6.22E-05,106.6,114.8,29.4,31.8,22.69239971,22.85586243,0.022891747,0.047665691
WAM56,-0.029489725,-0.151879699,-0.011278195,0.000263642,136.8,138.1,0,0,25.75428012,25.78637412,0.060702761,0.126636966
WAM57,-0.029489725,-0.151879699,-0.011278195,0.000263642,136.8,138.1,0,0,25.75428012,25.78637412,0.060702761,0.126636966
WAM58,0.057052791,0.369924812,-0.006766917,5.52E-05,30.6,29,0,0,22.43424209,22.36555124,0.033757517,0.074740269
WAM59,-0.02240443,-0.616541353,0,0.000587344,81.4,78.1,0,0,26.46385288,26.43703775,0.203739535,0.457158263
WAM60,-0.02240443,-0.616541353,0,0.000587344,81.4,78.1,0,0,26.46385288,26.43703775,0.203739535,0.457158263
WAM63,-0.111011779,-0.242857143,0.92556391,0.000361481,146,138.6,18.8,15.1,24.14664135,24.24687114,0.055894617,0.133129186
WAM64,-0.111011779,-0.242857143,0.92556391,0.000361481,146,138.6,18.8,15.1,24.14664135,24.24687114,0.055894617,0.133129186
